,0,1,2,3
0,삼성,4.330682029703652,"['sdi', '과징금', '업체', '기술자료', '하도급', '공정위', '중국', '유출', '신저가', '하청']",LG전자는 올해 초 TV 사업을 담당하는 홈엔터테인먼트(HE)사업본부 산하 HE플랫폼사업담당으로 삼성전자 출신 애플리케이션 전문가인 조병하 전무를 영입했다.
1,해제,2.721765936781556,"['거리두기', '전면', '금리', '코로나', '오늘부터', '화장품', '완화', '인상', '확진자', '시장']","2년 넘게 우리의 일상을 붙잡던 사회적 거리두기가 오늘(18일)부로 해제되었는데, 마스크 착용을 제외하고 영업시간과 사적모임 제한이 모두 풀리면서 일상 회복을 실감하고 있다."
2,LG,2.592931748502347,[],no summarization
3,시장,2.3471008555214206,"['진출', 'nft', '글로벌', '현대차', '업계', '최초', '부동산', '중고차', '발표', '성장']",no summarization
4,금리,2.255470578880058,"['인상', '이자', '대출', '은행', '오르면', '시장', '한국', '10', '이창용', '글로벌']","고정금리 변동금리냐, 변동금리냐, 1년 전에 4억 대출을 받은 사람을 예로 들어보았는데, 변동금리는 원금하고 이자를 한 달에 155만 원씩 내는데, 변동금리는 달마다 15만 원 더, 170만 원을 갚는 것이다."
5,아파트,2.241195981080112,"['삼성', '서울', '구축', '재건축', '강남', '절반', '서초', '거래', '규제', '대선']",no summarization
6,거리두기,2.200972093884865,"['해제', '전면', '금리', '코로나', '오늘부터', '화장품', '완화', '인상', '확진자', '시장']","이번주부터 사회적 거리두기가 해제되면서 화장품 ODM 업체인 코스맥스와 한국콜마는 각각 전 거래일보다 4.09%, 2.89% 급등했고, 화장품 ODM 업체인 코스맥스와 한국콜마는 각각 전 거래일보다 4.09%, 2.89% 급등했다."
7,재건축,1.812764830442159,"['아파트', '삼성', '서울', '구축', '강남', '절반', '서초', '거래', '규제', '대선']",최근 건설 원자재 값이 폭등하면서 철근과 레미콘 가격이 폭등하고 있어 건설현장의 필수 자재인 철근과 레미콘 가격이 폭등하고 있다.
8,코로나,1.5710908473029237,"['실적', '쌍용차', '쌍방울', '인수', '분양', '아파트', '일부', '인상', '흑자', '최대']","반도체 D램 현물가격이 2·4분기부터 반등할 것이라는 기대와 달리 7주 연속 하락하고 있어 삼성전자, SK하이닉스 등 국내 반도체 기업들의 실적 불확실성도 커지고 있다."
9,서울,1.5251890617314876,"['아파트', '삼성', '구축', '재건축', '강남', '절반', '서초', '거래', '규제', '대선']",no summarization
10,구축,1.5090679886707,"['아파트', '삼성', '서울', '재건축', '강남', '절반', '서초', '거래', '규제', '대선']",no summarization
11,글로벌,1.4990856470140095,"['시장', '진출', 'nft', '현대차', '업계', '최초', '부동산', '중고차', '발표', '성장']",no summarization
12,기술,1.4767404153459598,"['도시', '속도', '기대감', '기업', '새벽배송', '3배', '추경호', '증시', '집값', '물가']",no summarization
13,기대,1.4339565565234866,"['정부', '공개', '힐스테이트', '종합', 'ipo', '다시', '한다', '위기', '주목', '구축']",no summarization
14,공급,1.3645087745588325,"['뱅크', '카카오', '돌파', '대출', '전월세보증금', '13조', '카뱅', '13조원', '10', '청년전월세대출']",no summarization
15,투자,1.3523155090913694,"['쌍용차', '20', '쌍방울', '금융', '경제', '4년', '인수', '수익률', '흑자', '증시']",no summarization
16,분양,1.3317270243493762,"['코로나', '성장', '봉쇄', '경제', '물가', '청약', '세운', '상승', '19', '도시']","둔촌주공아파트 재건축 사업을 둘러싸고 조합과 시공사단 간 갈등이 계속되면서 분양가 산정, 시공사 교체 등 쟁점으로 고민이 깊어지면서 서울 주요 정비사업 단지들이 일반분양 일정을 잡지 못하고 있는 것으로 나타났다."
17,20,1.3312596292452907,"['실적', '세운', '청약', '1분기', '그래비티', '푸르지오', '19', '깜짝', '상승', '임대주택']",no summarization
18,상승,1.3038057205771212,"['카드', '투자', '포바이포', '공모가', '확정', '물가', '1만7000원', '상단', '모니모', '코로나']",no summarization
19,실적,1.27867223218361,"['세운', '청약', '20', '1분기', '그래비티', '푸르지오', '19', '깜짝', '상승', '임대주택']",미국 기업들의 1분기 실적 발표 시즌이 시작된 가운데 테슬라·스냅·알코아 등의 호실적이 관측되는 가운데 서학개미들의 꾸준한 사랑을 받은 넷플릭스의 경우 신규 가입자 감소로 예상 대비 부진한 실적이 예상된다.
