,0,1,2,3
0,삼성,1.9481752207757332,"['애플', '스마트', '구글', '워치', 'tv', '손목', '출신', '전문가', '영입', '시장']","2년 전 출시된 삼성전자 프리미엄폰 ‘갤럭시S20+’ 모델의 실제 구매가격이 20만~30만원대까지 뚝 떨어졌지만, 실제 얼마나 많은 수요를 잡을 수 있을지는 미지수다."
1,LG,1.5708617486449414,[],no summarization
2,업계,1.54939847385767,"['웹젠', '파업', '노조', '게임', '네이버', '최인혁', '대표', '사퇴', '2일', '최초']",no summarization
3,네이버,1.475633943382622,"['최인혁', '사퇴', '대표', '해피빈', '난다', '부사장', '떠나', '회사', '괴롭힘', '재단']","네이버 창업자인 이해진 글로벌투자책임자(GIO)의 최측근 중 하나인 최인혁 전 네이버 최고운영책임자(COO)가 지난해 발생한 직장 내 괴롭힌 사건에 대한 책임을 지고 COO, 네이버파이낸셜 대표 등의 직책에서 사퇴했다."
4,5G,1.4149469794374285,[],"작년 12월 기준으로 통신 3사가 5G를 연결해주는 무선국을 46만대 설치했는데 이 중 기지국은 94%인 43만대, 중계기는 6%인 3만대인 것으로 나타났다."
5,웹젠,1.2816047589515853,"['파업', '노조', '업계', '게임', '네이버', '최인혁', '대표', '사퇴', '2일', '최초']",no summarization
6,노조,1.125874219833379,"['웹젠', '파업', '업계', '게임', '네이버', '최인혁', '대표', '사퇴', '2일', '최초']",no summarization
7,시장,0.9962109669091708,"['해외', '배달', '교통', '여행', '완화', '대기업', '투자', '거리두기', '워치', '알뜰폰']","롯데하이마트, 전자랜드 등 가전양판점들이 1인 가구를 겨냥한 PB상품 시장 확장에 박차를 가하고 있다."
8,이유,0.9760043623541158,"['먹통인가', '안에', '했더니', '터지는', '실내', '비중', '5g', '왔다', '오면', '잡히는']",과학기술정보통신부와 통신업계에 따르면 지난해 12월 신고 기준 SK텔레콤·KT·LG유플러스 등 이통 3사의 5G 무선국 46만대 가운데 기지국은 43만대(94%)인 반면 중계기는 3만대(6%)에 불과해 실내용 중계기 비중은 6%에 그친 것으로 나타났다.
9,투자,0.8087332984341215,"['ott', '적자', '토종', '500', '작년', '해외', '목소리', '콘텐츠', '진출', '세액공제']",엔씨소프트가 글로벌 유수 벤처캐피탈(VC)이 조성한 6개의 펀드에 총 486억 원을 출자하여 미국·인도 지역 유망 스타트업 투자 파트너 발굴을 위해 출자 계약을 체결했다고 밝혔다.
10,파업,0.7782251954424714,"['웹젠', '노조', '업계', '게임', '네이버', '최인혁', '대표', '사퇴', '2일', '최초']",전국화학섬유식품산업노동조합 IT위원회 웹젠지회는 18일 경기 성남시 분당구 웹젠 본사 앞에서 기자회견을 개최하고 한국 게임업계 최초 파업을 예고했다.
