,0,1,2,3
0,우크라,4.222235511549581,"['마리우폴', '항복', '계속', '저항', '거부하고', '제안', '러시아', '최후통첩', '촘스키', '사망']",러시아군이 우크라이나 돈바스 지역 총공세를 위해 전열을 가다듬는 한편 모스크바함 격침에 대한 보복 성격으로 우크라이나 주요 도시들을 공격하고 있는 것으로 보인다.
1,돈바스,2.68883673726409,"['포기', '젤렌스키', '결사항전', '우크라', '의지', '바이든', '전쟁', '전체', '영향', '마리우폴']",러시아군이 우크라이나 돈바스 지역 총공세를 위해 전열을 가다듬는 한편 모스크바함 격침에 대한 보복 성격으로 우크라이나 주요 도시들을 공격하고 있는 것으로 보인다.
2,젤렌스키,1.9198427571410086,"['돈바스', '포기', '결사항전', '우크라', '의지', '바이든', '전쟁', '영향', '전체', '마리우폴']",러시아군이 우크라이나 돈바스 지역 총공세를 위해 전열을 가다듬는 한편 모스크바함 격침에 대한 보복 성격으로 우크라이나 주요 도시들을 공격하고 있는 것으로 보인다.
3,마리우폴,1.4833488977699267,"['우크라', '항복', '계속', '저항', '거부하고', '제안', '러시아', '최후통첩', '촘스키', '사망']",러시아군이 우크라이나 돈바스 지역 총공세를 위해 전열을 가다듬는 한편 모스크바함 격침에 대한 보복 성격으로 우크라이나 주요 도시들을 공격하고 있는 것으로 보인다.
4,코로나,1.4703162249425308,"['푸틴', '총리', '바이러스', '전쟁', '상하이', '봉쇄', '이기고', '오스트리아', '방송', '방역']",러시아군이 우크라이나 돈바스 지역 총공세를 위해 전열을 가다듬는 한편 모스크바함 격침에 대한 보복 성격으로 우크라이나 주요 도시들을 공격하고 있는 것으로 보인다.
5,포기,1.3068983957416949,"['돈바스', '젤렌스키', '결사항전', '우크라', '의지', '바이든', '전쟁', '전체', '영향', '마리우폴']",러시아군이 우크라이나 돈바스 지역 총공세를 위해 전열을 가다듬는 한편 모스크바함 격침에 대한 보복 성격으로 우크라이나 주요 도시들을 공격하고 있는 것으로 보인다.
6,러시아,1.2742237382747756,"['사망', '40', '침몰로', '모스크바호', '흑해', '기함', '정도', '키이우', '침몰', '말라']",러시아군이 우크라이나 돈바스 지역 총공세를 위해 전열을 가다듬는 한편 모스크바함 격침에 대한 보복 성격으로 우크라이나 주요 도시들을 공격하고 있는 것으로 보인다.
7,푸틴,1.2311742752107362,"['총리', '전쟁', '이기고', '오스트리아', '믿어', '보니', '침몰', '자존심', '생각', '판단']",러시아군이 우크라이나 돈바스 지역 총공세를 위해 전열을 가다듬는 한편 모스크바함 격침에 대한 보복 성격으로 우크라이나 주요 도시들을 공격하고 있는 것으로 보인다.
8,침몰,1.202604740944794,"['바이든', '자존심', '러시아', '방문해', '모스크바', '상하이', '19', '디폴트', '한다', '공개']",러시아군이 우크라이나 돈바스 지역 총공세를 위해 전열을 가다듬는 한편 모스크바함 격침에 대한 보복 성격으로 우크라이나 주요 도시들을 공격하고 있는 것으로 보인다.
9,결사항전,1.1986340505568434,"['돈바스', '포기', '젤렌스키', '우크라', '의지', '바이든', '전쟁', '전체', '영향', '마리우폴']",러시아군이 우크라이나 돈바스 지역 총공세를 위해 전열을 가다듬는 한편 모스크바함 격침에 대한 보복 성격으로 우크라이나 주요 도시들을 공격하고 있는 것으로 보인다.
10,사망,1.0231240899664218,"['40', '러시아', '침몰로', '모스크바호', '흑해', '기함', '정도', '키이우', '침몰', '말라']",러시아군이 우크라이나 돈바스 지역 총공세를 위해 전열을 가다듬는 한편 모스크바함 격침에 대한 보복 성격으로 우크라이나 주요 도시들을 공격하고 있는 것으로 보인다.
11,침공,1.022622883378798,"['디폴트', '영향', '전체', '기대', '지원', '억불', '스리랑카', 'imf', '24일', '전쟁']",러시아군이 우크라이나 돈바스 지역 총공세를 위해 전열을 가다듬는 한편 모스크바함 격침에 대한 보복 성격으로 우크라이나 주요 도시들을 공격하고 있는 것으로 보인다.
12,바이,0.9649534474913433,"['에른', '통일휴게소', '기능', '기득권', '불만', '보험증', '의사', '배려', '마이넘버카드', '뺏는']",러시아군이 우크라이나 돈바스 지역 총공세를 위해 전열을 가다듬는 한편 모스크바함 격침에 대한 보복 성격으로 우크라이나 주요 도시들을 공격하고 있는 것으로 보인다.
13,전쟁,0.8822158167889972,"['영향', '전체', '상하이', '바이든', '러에', '가고', '싶어요', '격리', '집에', '학생들']",러시아군이 우크라이나 돈바스 지역 총공세를 위해 전열을 가다듬는 한편 모스크바함 격침에 대한 보복 성격으로 우크라이나 주요 도시들을 공격하고 있는 것으로 보인다.
14,공격,0.8717837602082178,"['20', '믹스', '아베노', '엔화', '가치', '최저', '손실', '서부', '기록한', '청구']",러시아군이 우크라이나 돈바스 지역 총공세를 위해 전열을 가다듬는 한편 모스크바함 격침에 대한 보복 성격으로 우크라이나 주요 도시들을 공격하고 있는 것으로 보인다.
15,세계,0.8076527722790301,"['스태그플레이션', '경제', '의용군', '교민이', '이근', '전한', '근황', '러시아', '총상자', '발생']",러시아군이 우크라이나 돈바스 지역 총공세를 위해 전열을 가다듬는 한편 모스크바함 격침에 대한 보복 성격으로 우크라이나 주요 도시들을 공격하고 있는 것으로 보인다.
16,모스크바,0.798347085015854,"['전략', '침몰', '기함', '대만', '8개', '해군', '상징', '맹폭', '직전', '수립']",러시아군이 우크라이나 돈바스 지역 총공세를 위해 전열을 가다듬는 한편 모스크바함 격침에 대한 보복 성격으로 우크라이나 주요 도시들을 공격하고 있는 것으로 보인다.
