,키워드,중요도,연관단어
0,정호영,8.121961865907743,"['국민의힘', '합당', '조국', '선언', '청문회', '국민의', '달라', '당선인', '의혹', '판단']"
1,국민,3.193908062930671,"['홍준표', '시장', '싫다', '언급', '文대통령', '정부', '공천', '사람', '서울', '받을']"
2,민주,3.1014946413000692,"['이은해', '양이원영', '검거', '음모론', '누리꾼', '안철수', '논란', '후보', '이준석', '인수위']"
3,검수완박,2.6864666241181294,"['민주당', '민주', '정부', '부동산', '발표', '한동훈', '후보', '정책', '김재원', '출범']"
4,조국,2.562460148562031,"['장제원', '뭐가', '같나', '안철수', '당선인', '위조했나', '의혹', '이준석', '조작했나', '민주당']"
5,김오수,2.299266597410883,"['사표', '면담', '반려', '대통령', '총장', '검찰', '검수완박', '文대통령', '임은정', '오후']"
6,국힘,2.0854420908074056,"['요구', '공개', '한덕수', '자진사퇴', '거취', '국당', '고민정', '안철수', '정호영', '송영길']"
7,의혹,1.9874746189632004,"['공개', '정부', '총장', '발사', '당선인', '전술핵', '참석', '본격화', '고민정', '대통령']"
8,경선,1.9279319030461206,"['김진태', '황상무', '강원지사', '국힘', '공천', '보류', '사과', '발언', '후보', '단수공천']"
9,후보,1.8173871312832017,"['무관', '대통령', '퇴거', '당선인', '인수위', '한덕수', '취임식', '시한', '참석', '민주']"
10,한동훈,1.7994653859759926,"['진중권', '마음', '졌다', '하겠지', '한덕수', '처럼', '감싼', '논란', '민주당', '정호영']"
11,종합,1.700577448838791,"['철회', '경선', '하태경', '수사', '지명', '병역', '고민정', '특례', 'bts', '안철수']"
12,안철수,1.5956130804061721,"['장제원', '조국', '뭐가', '같나', '당선인', '위조했나', '의혹', '이준석', '조작했나', '민주당']"
13,논란,1.5170234648007188,"['국민', '민주당', '커지', '사퇴', '윤심', '장제원', '국민의', '종합', '뭐가', '시장']"
14,선언,1.5028195775053481,"['합당', '국민의힘', '국민의', '이준석', '안철수', '공식', '당명은', '공동', '초석', '국당']"
15,청문,1.4685438858357238,"['예고', '할까', '취임식', '이게', '맞아', '컷오프', '독주', '정국', '국회', '에도']"
16,합당,1.4580634035567215,"['선언', '국민의힘', '국민의', '이준석', '안철수', '공식', '당명은', '공동', '초석', '국당']"
17,사표,1.410480634038192,"['김오수', '면담', '반려', '대통령', '총장', '검찰', '검수완박', '文대통령', '임은정', '오후']"
18,김진태,1.4036050306327366,"['경선', '황상무', '강원지사', '국힘', '공천', '보류', '사과', '발언', '후보', '단수공천']"
19,검찰,1.3904548494804692,"['총장', '임은정', '국민', '청원', '요구', '수사', '이준석', '안철수', '국힘', '공개']"
