,키워드,중요도,연관단어
0,삼성,4.330682029703652,"['sdi', '과징금', '업체', '기술자료', '하도급', '공정위', '중국', '유출', '신저가', '하청']"
1,해제,2.721765936781556,"['거리두기', '전면', '금리', '코로나', '오늘부터', '화장품', '완화', '인상', '확진자', '시장']"
2,LG,2.592931748502347,
3,시장,2.3471008555214206,"['진출', 'nft', '글로벌', '현대차', '업계', '최초', '부동산', '중고차', '발표', '성장']"
4,금리,2.255470578880058,"['인상', '이자', '대출', '은행', '오르면', '시장', '한국', '10', '이창용', '글로벌']"
5,아파트,2.241195981080112,"['삼성', '서울', '구축', '재건축', '강남', '절반', '서초', '거래', '규제', '대선']"
6,거리두기,2.200972093884865,"['해제', '전면', '금리', '코로나', '오늘부터', '화장품', '완화', '인상', '확진자', '시장']"
7,재건축,1.812764830442159,"['아파트', '삼성', '서울', '구축', '강남', '절반', '서초', '거래', '규제', '대선']"
8,코로나,1.5710908473029237,"['실적', '쌍용차', '쌍방울', '인수', '분양', '아파트', '일부', '인상', '흑자', '최대']"
9,서울,1.5251890617314876,"['아파트', '삼성', '구축', '재건축', '강남', '절반', '서초', '거래', '규제', '대선']"
10,구축,1.5090679886707,"['아파트', '삼성', '서울', '재건축', '강남', '절반', '서초', '거래', '규제', '대선']"
11,글로벌,1.4990856470140095,"['시장', '진출', 'nft', '현대차', '업계', '최초', '부동산', '중고차', '발표', '성장']"
12,기술,1.4767404153459598,"['도시', '속도', '기대감', '기업', '새벽배송', '3배', '추경호', '증시', '집값', '물가']"
13,기대,1.4339565565234866,"['정부', '공개', '힐스테이트', '종합', 'ipo', '다시', '한다', '위기', '주목', '구축']"
14,공급,1.3645087745588325,"['뱅크', '카카오', '돌파', '대출', '전월세보증금', '13조', '카뱅', '13조원', '10', '청년전월세대출']"
15,투자,1.3523155090913694,"['쌍용차', '20', '쌍방울', '금융', '경제', '4년', '인수', '수익률', '흑자', '증시']"
16,분양,1.3317270243493762,"['코로나', '성장', '봉쇄', '경제', '물가', '청약', '세운', '상승', '19', '도시']"
17,20,1.3312596292452907,"['실적', '세운', '청약', '1분기', '그래비티', '푸르지오', '19', '깜짝', '상승', '임대주택']"
18,상승,1.3038057205771212,"['카드', '투자', '포바이포', '공모가', '확정', '물가', '1만7000원', '상단', '모니모', '코로나']"
19,실적,1.27867223218361,"['세운', '청약', '20', '1분기', '그래비티', '푸르지오', '19', '깜짝', '상승', '임대주택']"
