,키워드,중요도,연관단어
0,해제,4.595628403461172,"['거리두기', '이은해', '살인', '검찰', '조현수', '코로나', '2년', '오늘부터', '회의', '검수완박']"
1,거리두기,4.003705544344983,"['해제', '이은해', '살인', '검찰', '조현수', '코로나', '2년', '오늘부터', '회의', '검수완박']"
2,이은해,3.6855884662535683,"['조현수', '살인', '계곡', '검찰', '검수완박', '회의', '구속영장', '수사', '청구', '고검장']"
3,검수완박,3.580651138359382,"['서울', '위반', '한동훈', '농지법', '보행자', '의혹', '범칙금', '50', '이면도로', '상속']"
4,조현수,3.3894418114308036,"['이은해', '살인', '계곡', '검찰', '검수완박', '회의', '구속영장', '수사', '청구', '고검장']"
5,검찰,3.266737860787242,"['20', '혐의', '김현숙', '검거', '의혹', '50', '대통령', '서울', '여론', '처분']"
6,확진,3.231908644143079,"['신규', '아래로', '68일', '5만명', '4만7743명', '4만', '5만', '68일만에', '코로나', '사망']"
7,경찰,2.770753004559094,"['일상회복', '기대감', '2년', '인천', '민주당', '만의', '위협', '고시텔', '검수완박', '확정']"
8,후보,2.7682182602334486,"['시장', '예비', '마스크', '실외', '민주당', '양현석', '국힘', '경선', '광주', '죽이는']"
9,코로나,2.4437708850997217,"['19', '아냐', '마스크', '정부', '김오수', '논의', '주부터', '종식된', '실외', '양현석']"
10,수사,2.34272746496647,"['여행', '공개수배', '조현수', '경찰', '이은해', '1박2일', '조력자', '20', '검수완박', '도피']"
11,김오수,2.2832951882155625,"['면담', '사표', '박범계', '대통령', '갖고', '정호영', '있겠다', '총장', '의혹', '종합']"
12,살인,2.2699119313972687,"['이은해', '조현수', '계곡', '검찰', '검수완박', '회의', '구속영장', '수사', '청구', '고검장']"
13,조민,2.1907592308692267,"['부산대', '입학취소', '법원', '집행정지', '졸업', '인용', '유지', '일부', '의전원', '취소']"
14,19,2.036544941783572,"['코로나', '아냐', '마스크', '정부', '김오수', '논의', '주부터', '종식된', '실외', '양현석']"
15,전국,1.9970500907983522,"['회의', '고검장', '긴급', '검수완박', '김오수', '총장', '논의', '대통령', '면담', '이성']"
16,부산,1.9309431182396182,"['폭발', '추정', '부탄가스', '6명', '화재', '중경상', '원룸서', '주민', '서울', '20']"
17,고검장,1.920093658095137,"['회의', '전국', '긴급', '검수완박', '김오수', '총장', '논의', '대통령', '면담', '이성']"
18,일상,1.9161811029107279,"['회복', '첫날', '접종', '확진', '북적', '돌아', '4차', '성착취물', '달라', '찾은']"
19,종합,1.8716516792247857,"['30', '숨지게', '노인', '치어', '집유', '송치', '운전', '보행자', '무면허로', '범칙금']"
